,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
2900,67,100,-61.39,-1.47,0.159,0.029,-0.028,7.561000000000002,13.802000000000003,6.508999999999999,15.898,True
2901,67,101,-59.24,-1.8,0.162,0.022,-0.032,5.921000000000001,13.482000000000003,7.008999999999999,16.608,True
2902,67,102,-58.3,-1.98,0.167,0.01,-0.033,7.130999999999995,13.051999999999996,7.018999999999997,17.157999999999998,True
2903,67,103,-55.76,-2.24,0.169,0.003,-0.03,5.531000000000001,12.661999999999995,7.688999999999998,18.038,True
2904,67,104,-54.23,-2.16,0.172,-0.005,-0.026,6.540999999999999,12.072,7.898999999999999,18.457999999999995,True
2905,67,105,-51.04,-2.1,0.168,-0.017,-0.024,4.881000000000002,11.422,8.389000000000001,19.048,True
2906,67,106,-49.13,-1.96,0.169,-0.021,-0.021,6.161000000000003,11.042000000000005,8.379000000000003,19.618,True
2907,67,107,-45.59,-1.85,0.165,-0.026,-0.022,4.531000000000001,10.692000000000004,8.939000000000005,20.208000000000002,True
2908,67,108,-43.31,-1.67,0.163,-0.035,-0.021,5.790999999999999,10.322,8.999,20.808000000000003,True
2909,67,109,-39.32,-1.41,0.156,-0.039,-0.016,4.080999999999998,9.871999999999996,9.449000000000003,21.298,True
2910,67,110,-36.72,-1.21,0.153,-0.047,-0.011,5.470999999999998,9.551999999999996,9.599000000000002,21.907999999999998,True
2911,67,111,-32.43,-0.94,0.148,-0.053,-0.007,3.7810000000000006,9.251999999999999,10.048999999999998,22.398,True
2912,67,112,-29.45,-0.66,0.135,-0.059,0.0,5.090999999999999,8.872,10.028999999999998,22.808,True
2913,67,113,-24.92,-0.44,0.129,-0.062,0.007,3.541000000000002,8.632000000000001,10.449,23.158,True
2914,67,114,-21.71,-0.2,0.119,-0.058,0.007,4.860999999999999,8.402000000000001,10.419000000000002,23.548000000000002,True
2915,67,115,-17.04,-0.11,0.102,-0.042,0.0,3.400999999999998,8.261999999999997,10.858999999999998,24.048,True
2916,67,116,-13.85,-0.19,0.091,-0.038,0.0,4.881,8.281999999999998,10.869,24.427999999999997,True
